,平均気温(℃),,,,
,2018年2月,2019年2月,2020年2月,2021年2月,2022年2月
1日,-1.3,-3.6,-0.2,2.3,-1.2
2日,-0.7,-1.2,0,3.5,0.1
3日,-0.5,1.1,3.1,0.8,0.2
4日,-1.8,5.7,1.6,1.1,-0.2
5日,-2.9,1.6,1.6,0.7,-2.5
6日,-2.9,0.9,-3.5,4.3,-3.9
7日,-3,2.8,-3.6,1.9,-3.3
8日,-4.3,-1.6,-0.4,-1.2,-1.2
9日,-3.7,-3,-3,-2.5,0.7
10日,1,-2.7,-2.8,-1.1,-1.4
11日,1.9,0,-1.1,2.1,-1
12日,-1.9,-0.4,2.8,2,-1.9
13日,-1.7,-2,9.5,4.2,-1.8
14日,0.8,-2.7,6.2,6.9,-0.4
15日,1.8,-0.8,5.6,5.8,0.5
16日,1,1.8,6.6,3.6,-0.2
17日,-1.5,-1.1,6.6,-1.3,-3.3
18日,-3.3,0.1,-0.7,-2.6,-0.6
19日,-1.8,3,0.1,-1.6,0.4
20日,0.4,6.7,2.2,6.1,0.1
21日,-0.5,2.7,3.6,10,-3.1
22日,-0.1,3,6.8,10,-3.1
23日,0.5,1.7,2.6,3.7,-2.8
24日,1.7,2.3,2.7,-0.8,-3.3
25日,0.5,5.4,1.9,0.2,-1.6
26日,1,3.3,3.1,1.1,0.7
27日,2.3,2.1,0.3,-0.6,2.7
28日,3.5,3.3,0.5,2.8,2
